1. ['巧克力', '「我们回来了～！」']
148. ['嘉祥', '「问题不在这里……」']
149. ['巧克力', '「喵～！居然坐在主人身上，太狡滑了啦！巧克力也要坐！」']
150. ['巧克力', '「主人快分一条腿出来让巧克力坐！这样才公平！」']
151. ['香草', '「这就是人类社会所谓的『齐人之福』对吧。」']
152. ['嘉祥', '「在解释之前拜托妳们遵守一下人类社会的善良习俗行吗？」']
153. ['嘉祥', '「总之先请妳们下来好不好？我是说真的。」']
154. ['香草', '「主人你明明就高兴得很，所以驳回。」']
155. ['巧克力', '「那巧克力也一样驳回～咕噜咕噜～♪」']
156. ['None', '不知不觉间，巧克力又变回原来的样子了。']
157. ['None', '虽然说巧克力能恢复精神是很好，']
158. ['None', '不过到最后我还是成了两只猫娘打发时间的玩具，']
159. ['None', '一点也没有休息到什么。']
160. ['香草', '「巧克力，麻烦妳把这张订单交给主人。」']
161. ['巧克力', '「啊，呃、嗯！知道了！我马上回来！」']
162. ['巧克力', '「主人，这是明天的订单。」']
163. ['嘉祥', '「了解，我待会会看。」']
164. ['巧克力', '「知道了，那巧克力就放在老地方啰。」']
165. ['巧克力', '「…………（盯～）」']
166. ['巧克力', '「…………」']
167. ['巧克力', '「…………（抱住）」']
168. ['嘉祥', '「…………嗯？」']
169. ['巧克力', '「嗅嗅、嗅嗅嗅……」']
170. ['巧克力', '「吸──哈～……吸──哈～……♪」']
171. ['嘉祥', '「…………我说，巧克力？」']
172. ['巧克力', '「怎么了，主人～……？」']
173. ['嘉祥', '「什么怎么了……」']
174. ['巧克力', '「嗯嗯～？　嗯嗯嗯～～？」']
175. ['巧克力', '「喵！？喵喵喵！？」']
176. ['巧克力', '「为、为什么巧克力会跟主人的背黏在一起！？」']
177. ['巧克力', '「主人，不可以把背靠在巧克力身上啦！？」']
178. ['嘉祥', '「等一下，明明就是巧克力自己靠上来的吧？」']
179. ['巧克力', '「咦……？是巧克力，自己靠到主人背上？」']
180. ['嘉祥', '「嗯，没错。」']
181. ['巧克力', '「嗯嗯……？　嗯嗯嗯嗯……？」']
182. ['巧克力', '「……这么说起来，好像是这样没错……？」']
183. ['None', '只见她抱著头拼命回想著自己刚才到底做了什么。']
184. ['None', '……该不会是染上什么不好的病了吧？']
185. ['None', '虽然她是几秒钟前才突然变成这样就是了。']
186. ['嘉祥', '「有哪里不舒服吗？」']
187. ['嘉祥', '「我看妳从刚刚休息完以后就一直心不在焉的。」']
188. ['巧克力', '「不、不要紧啦！巧克力可是堂堂带铃猫喔？」']
189. ['巧克力', '「收据就先放在这里啰！拜拜！」']
190. ['嘉祥', '「……本人都说不要紧了，应该没什么问题吧。」']
191. ['None', '反正对工作似乎没什么影响，']
192. ['None', '还是先看看情况再说吧。']
193. ['None', '我就这么看著她不太可靠的背影消失在门外。']
194. ['巧克力', '「哈……呼……哈啊啊～……」']
195. ['香草', '「不要紧吧？」']
196. ['巧克力', '「喵？啊，嗯。只是觉得今天有点热而已啦。」']
197. ['香草', '「我怎么觉得没什么差别……」']
198. ['巧克力', '「啊，千层派快要卖光了呢。」']
199. ['巧克力', '「巧克力去跟主人说一声喔。」']
200. ['香草', '「啊，巧克力……」']
201. ['嘉祥', '「喔，巧克力？怎么了吗？」']
202. ['巧克力', '「啊，主人……」']
203. ['巧克力', '「喵，那个……咦？就是……我是来做什么的？」']
204. ['嘉祥', '「妳问我我也不知道啊……」']
205. ['None', '脚步有些不稳的巧克力又再度露出一副疑惑的表情。']
206. ['None', '虽然我不认为她是故意的……']
207. ['None', '不论是刚刚也好，现在也好，巧克力到底是怎么了？']
208. ['None', '不仅样子明显和平常不太一样，']
209. ['None', '而且我总觉得她的脸看起来好像红红的。']
210. ['嘉祥', '「让我摸一下额头看看。」']
211. ['巧克力', '「啊呜……！主、主人……！」']
212. ['None', '被我摸到额头的同时，']
213. ['None', '巧克力的身体突然震了一下。']
214. ['None', '不仅如此，从手心传来的触感也明确地告诉我巧克力正在发抖。']
215. ['None', '虽然感觉不像是在发烧……']
216. ['巧克力', '「啊呜……哈啊，主人……」']
217. ['嘉祥', '「咦，巧克力……？」']
218. ['巧克力', '「喵……♪嗅嗅……喵～主人～……♪」']
219. ['嘉祥', '「巧、巧克力……？啊，喂……」']
220. ['巧克力', '「嗅嗅……主人身上的味道好甜好香……♪哈啊，喵～……♪」']
221. ['None', '这时巧克力突然发出一声我从没听过的娇声，']
222. ['None', '还不断把脸往我身上蹭。']
223. ['巧克力', '「主人……主人……♪　咕噜咕噜咕噜～……♪」']
224. ['None', '总之她的模样明显和平时不一样，']
225. ['None', '总之巧克力就这样不停地用娇滴滴，']
226. ['None', '或者也可以说是妖媚的声音对我撒娇。']
227. ['None', '就连抱著我的力道，']
228. ['None', '也充满了和平常不同的妖艳感。']
229. ['巧克力', '「啊……！　对、对不起……！！」']
230. ['巧克力', '「那、那个……对了！我应该是有事来找主人才对！！那个，就是……！」']
231. ['None', '这时巧克力突然回过神来，猛然从我身边退开。']
232. ['None', '只见她拼命挥著双手，嘴巴也像是在回想什么似地嘟囔个不停。']
233. ['香草', '「巧克力，千层派该补了。」']
234. ['巧克力', '「啊，对了！就是这个！谢谢妳提醒，香草！」']
235. ['巧克力', '「主人，千层派快卖完了，所以巧克力先拿一些出去啰！」']
236. ['巧克力', '「记得是放在里面的冰柜对不对？千层派，千层派……」']
237. ['香草', '「…………」']
238. ['嘉祥', '「香草，巧克力是怎么了？」']
239. ['嘉祥', '「不觉得今天的巧克力很奇怪吗？」']
240. ['香草', '「她偶尔是会变得怪怪的没错，不过今天特别不对劲。」']
241. ['None', '断言。']
242. ['None', '老实说，她这副口气听起来还挺可靠的。']
243. ['嘉祥', '「对了，顺便问妳一个问题。」']
244. ['嘉祥', '「我身上有什么奇怪的味道吗？」']
245. ['香草', '「很普通。」']
246. ['嘉祥', '「……我想也是。」']
247. ['None', '虽然香草这个回答让我感觉有些微妙，']
248. ['None', '但至少可以确定我身上没有什么特别的味道了。']
249. ['香草', '「难不成……嗯～可是又没有确切证据……」']
250. ['嘉祥', '「？」']
251. ['None', '难得香草会语带保留。']
252. ['None', '不过我看她似乎知道些什么……。']
253. ['嘉祥', '「总之，可以先帮我带巧克力回房休息吗？」']
254. ['香草', '「可以是可以，店要怎么办？」']
255. ['嘉祥', '「反正现在没什么客人，我一个人也可以应付得来。」']
256. ['巧克力', '「什、什么！？巧克力没问题的！」']
257. ['巧克力', '「再怎么说人家好歹也是带铃猫，带铃猫喔！这可是身为杰出猫娘的证据――」']
258. ['香草', '「收到。目标巧克力，启动强制退场模式。」']
259. ['巧克力', '「喵啊啊啊────！主人救、救命……！巧克力还可以、巧克力还可以……！！」']
260. ['嘉祥', '「…………」']
261. ['嘉祥', '「呃──记得是千层派该补了是吗？」']
262. ['None', '没想到香草意外的有行动力呢。']
263. ['None', '总之我现在只能站在门户大开的冰柜前，']
264. ['None', '听著我们家看板猫娘的求救声逐渐远去。']
265. ['巧克力', '「啊……嗯，哈啊……」']
266. ['巧克力', '「不行……心脏从刚才开始就跳得好快……」']
267. ['巧克力', '「只要一想到……主人的、味道……啊呜呜呜……」']
268. ['巧克力', '「身体里面……好热……而且，心脏跳得好快……哈啊……」']
269. ['巧克力', '「嗯……啊，这边……摸起来好舒服……」']
270. ['巧克力', '「嗯，喵……哈、啊呜……嗯、嗯嗯……」']
271. ['嘉祥', '「巧克力，身体还好吧？」']
272. ['巧克力', '「喵啊啊啊啊啊啊啊啊啊啊！？」']
273. ['嘉祥', '「呜喔哇！？」']
274. ['巧克力', '「主、主人！进房间时先敲门应该是基本礼仪吧！！」']
275. ['嘉祥', '「咦？啊、啊啊，说得也是。抱歉……」']
276. ['None', '虽然不知道怎么回事，不过我似乎是惹她生气了。']
277. ['None', '可是我平常不也很少敲门吗？']
278. ['None', '先不说我，就连巧克力自己也老是不敲门就闯进我的房间啊。']
279. ['嘉祥', '「先不管这个，身体怎么样了？」']
280. ['嘉祥', '「有办法自己走吗？我们到医院去。」']
281. ['巧克力', '「咦……？医院……？」']
282. ['巧克力', '「啊，主人……店呢……？」']
283. ['嘉祥', '「今天临时停业，不做生意了。」']
284. ['巧克力', '「临时停业……咦？为、为什么？」']
285. ['嘉祥', '「看妳病成这样，我怎么可能放著妳不管呢？」']
286. ['嘉祥', '「总之我先带妳去医院。站得起来吗？」']
287. ['巧克力', '「不、不可以……！现在不可以过来……！」']
288. ['嘉祥', '「这是什么话，看妳现在连坐都坐不稳了。」']
289. ['嘉祥', '「来，把手给我。」']
290. ['None', '我走向巧克力身旁，用手扶住她的背。']
291. ['巧克力', '「嗯啊啊……！主、主人……呜、喵呜～……！」']
292. ['嘉祥', '「怎、怎么了？会痛吗？」']
293. ['巧克力', '「没、没有，一点也不痛……！呼啊啊……甜甜的香味……」']
294. ['巧克力', '「哈啊、哈啊……伦家、伦家真的没有生病……喵～……」']
295. ['None', '但巧克力却只是支支唔唔地拒绝跟我去医院。']
296. ['None', '跟刚才比起来，她已经连话都讲不太清楚了。']
297. ['嘉祥', '「总之我们还是快点去医院好了。」']
298. ['嘉祥', '「不然我特地关店就没有意义啦。来吧。」']
299. ['巧克力', '「巧、巧克力可是堂堂带铃喵哟……？」']
300. ['巧克力', '「铃铛是理性的证据、有铃铛就代表巧克力可以忍住本能……啊呜……」']
301. ['嘉祥', '「理性？忍住本能？这是……」']
302. ['香草', '「巧克力，妳该不会……（嗅嗅嗅）」']
303. ['None', '只见香草不断在巧克力的身体和脸上闻来闻去。']
304. ['香草', '「果然。来了对吧？」']
305. ['嘉祥', '「妳说来了……」']
306. ['嘉祥', '「……该不会是发情期吧？」']
307. ['None', '这么说来，之前买的书上好像也有提到。']
308. ['None', '可是我一直以为要等到她们年纪再大一点以后才会来……']
309. ['巧克力', '「别、别说了！巧克力自己知道……！」']
310. ['巧克力', '「巧克力明知道主人的夸讲不是那个意思……可是就算知道……！」']
311. ['嘉祥', '「嗯，麻烦妳今后也一直待在我身边吧。」']
312. ['嘉祥', '「只要有巧克力在，我随时都能够打起精神来。」']
313. ['巧克力', '「主、主人……！？咦……？啊……！」']
314. ['巧克力', '「因为，主人身上……好像散发出一股甜甜的香味，让人家好像要融化一样……」']
315. ['嘉祥', '「……从那个时候就开始了吗。」']
316. ['None', '『比较早熟的猫娘只要有契机的话──』']
317. ['None', '我想起来了，书上好像是这么写的。']
318. ['None', '糟糕，']
319. ['None', '我还以为短期内不会遇上这个问题，结果完全没有翻过有关发情的部分。']
320. ['None', '这……这下我该怎么办？']
321. ['巧克力', '「哈啊……啊呜呜……主人～……」']
322. ['None', '巧克力抬起头用湿润的双眼盯著我。']
323. ['None', '那是一张既无助，又痛苦不已的──『女人』的表情。']
324. ['嘉祥', '「巧克力……」']
325. ['None', '这个意想不到的场面让我的脸一瞬间就热了起来。']
326. ['None', '……不好。']
327. ['None', '我开始觉得巧克力不再是巧克力了。']
328. ['None', '心脏直到这时才开始怦怦作响。']
329. ['香草', '「主人。」']
330. ['香草', '「猫娘进入发情期的时候要是没有好好发散精力，是会搞坏身体的喔。」']
331. ['嘉祥', '「妳、妳说发散……香草……！？」']
332. ['None', '我不禁瞪大眼看著耳边的香草。']
333. ['None', '可是她看起来一点也不像在开玩笑，']
334. ['None', '只是直直盯著我看而已。']
335. ['香草', '「而且，巧克力是因为喜欢主人才变成这样的。」']
336. ['香草', '「虽然猫娘和人类没办法生小孩……」']
337. ['香草', '「但只是要相爱的话一点问题都没有喔？」']
338. ['嘉祥', '「相、相爱……！？」']
339. ['None', '香草那毫不遮掩的口气，']
340. ['None', '让我不禁倒吞了一口口水。']
341. ['None', '即使如此，香草还是不断在我耳边呢喃著。']
342. ['香草', '「现实中不也有人把猫娘当成人生的伴侣吗？」']
343. ['嘉祥', '「话、话是这样……没错……」']
344. ['None', '当然，我不可能不知道这回事。']
345. ['None', '我的确是能够理解猫娘的可爱之处，而且对这种事也没有什么偏见。']
346. ['None', '可是，如果要我现在做出抉择……']
347. ['香草', '「难道主人不喜欢巧克力吗？」']
348. ['嘉祥', '「那是……因为我很重视你们两个……」']
349. ['None', '巧克力和香草对我来说的确是无可取代的家人没错。']
350. ['None', '如果要我在喜欢跟讨厌中选一个回答，答案当然是不用说的。']
351. ['None', '可是正因为如此，我才不想被一时的情欲给冲昏头……']
352. ['香草', '「主人你不是人类吗，怎么会那么健忘呢？」']
353. ['嘉祥', '「健忘……？」']
354. ['香草', '「我们猫娘只是对自己的欲望比较忠实罢了。」']
355. ['香草', '「我们猫娘只是对自己的欲望比较忠实罢了。」']
356. ['香草', '「真的在乎对方的话，就算会给对方添麻烦还是想要陪在对方身边。我觉得这是很理所当然的一件事。」']
357. ['香草', '「我们的幸福……就算是主人，也不该随便帮我们决定喔？」']
358. ['香草', '「所以主人，如果你是真心为巧克力著想……应该懂吧？」']
359. ['嘉祥', '「……香草。」']
360. ['None', '香草的纤细手指抚上我的脸颊。']
361. ['None', '没想到当时的那句话，']
362. ['None', '会再一次让我的心如此动摇。']
363. ['巧克力', '「……主人。」']
364. ['巧克力', '「巧克力真的很喜欢主人喔……」']
365. ['巧克力', '「因为喜欢，所以才会拼命想帮上主人的忙……」']
366. ['巧克力', '「……就是为了得到主人的夸奖，巧克力才能努力到现在的。」']
367. ['嘉祥', '「巧克力……」']
368. ['None', '和那个时候一样，']
369. ['None', '巧克力的语气十分认真。']
370. ['None', '接著，用真诚的眼神看著我的巧克力又继续说道。']
371. ['巧克力', '「身体会产生反应或许是因为发情期的影响没错，不过……」']
372. ['巧克力', '「不过，巧克力喜欢主人的心情……」']
373. ['巧克力', '「想要被主人抚摸的心情，跟发情期一点关系都没有哟……？」']
374. ['巧克力', '「巧克力是……巧克力是因为，面前站著最喜欢的主人才会……！」']
375. ['嘉祥', '「巧克力……」']
376. ['巧克力', '「咦……主人……」']
377. ['巧克力', '「嗯……」']
378. ['巧克力', '「哈啊～……主、人……」']
379. ['None', '轻轻喘著气的巧克力打开双眼，']
380. ['None', '露出困惑的神情看向我的脸。']
381. ['None', '我轻轻捧起她那张快要哭出来的脸。']
382. ['嘉祥', '「……我也喜欢巧克力。」']
383. ['嘉祥', '「如果巧克力这么希望的话，那么我也不想再管什么正不正确了……」']
384. ['嘉祥', '「我决定诚实面对自己的感情。」']
385. ['None', '发完誓，我又给了眼前的巧克力一个吻。']
386. ['巧克力', '「主人……主人……」']
387. ['香草', '「嘻嘻。真是个爱给人添麻烦的主人呢。」']
388. ['嘉祥', '「一点也没错。」']
389. ['None', '我摸了摸双眼含著泪光的巧克力跟一脸得意的香草，']
390. ['None', '接著把她们俩给抱进怀里。']
391. ['香草', '「那么，就麻烦你用态度来证明啰，主人？」']
