1. ['巧克力', '「主人！店面附近有人影接近！」']
47. ['时雨？', '「总、总之乖乖把所有蛋糕交出来就对了！快点！价钱随便你喊多少都没问题！！」']
48. ['嘉祥', '「就算妳摆出一副强盗的态度……」']
49. ['时雨？', '「生意人怎么可以挑客人呢！」']
50. ['时雨？', '「要是再继续用这种态度做生意的话，就连每天早上一定会在开门同时包下店里所有蛋糕的贵客都会跑掉喔！？」']
51. ['时雨？', '「身为一个生意人，不趁著能赚的时候好好给它大赚特赚怎么行！」']
52. ['时雨？', '「还有，哥哥您居然用那么冷漠的眼神看我，我真是太伤心了！」']
53. ['时雨？', '「为了帮上哥哥的忙，人家可是好不容易才忍到今天的说……呜呜……！！」']
54. ['嘉祥', '「跟挑不挑客人一点关系也没有啦……」']
55. ['None', '先不提眼泪攻势，时雨刚刚装出来的形象现在已经完全走样，']
56. ['None', '害我都不知道她到底想表达什么了。']
57. ['巧克力', '「啊，是时雨耶！好久不见～♪最近好吗？」']
58. ['香草', '「时雨，妳怎么会打扮成这样？最新流行吗？」']
59. ['时雨？', '「啊，等等！就说了我不是时雨……！」']
60. ['时雨？', '「啊，不可以，不要拉外套……啊、啊……哇！」']
61. ['时雨？', '「啊啊────！」']
62. ['红豆', '「唷～几天不见了呢，巧克力还有香草。」']
63. ['枫', '「哎呀，那是制服吗？真可爱。果然是佛要金装，人要衣装呢。」']
64. ['桂', '「巧克力跟香草看起来都很有精神，真是太好了～」']
65. ['桂', '「发现妳们两个突然不见以后，妳们知道大家有多担心吗？」']
66. ['椰子', '「就是说啊，我们可是担心得要命呢！」']
67. ['椰子', '「就算要跟嘉祥主人一起走也该事先说一声啊。」']
68. ['巧克力', '「啊哈哈，对不起啦～因为事出突然嘛。」']
69. ['香草', '「既然都已经重逢了，就别太在意了吧。大家看起来也都很有精神呢。」']
70. ['时雨', '「嗯，嗯。猫娘们看来也都沉浸在感动大团圆里，真是太好了。」']
71. ['嘉祥', '「好个头啦……」']
72. ['None', '只见店里瞬间挤满了不请自来的熟人，']
73. ['None', '人口密度一下就暴增到顶点。']
74. ['时雨', '「好久不见，哥哥。看到你这么有精神我就安心了。」']
75. ['None', '而时雨也换回平时高雅的口气，对我露出了微笑。']
76. ['None', '虽说我家这位小妹平时为人温和有礼，']
77. ['None', '但偶尔就是会变得像是打开什么奇怪开关一样。']
78. ['嘉祥', '「明明才几天没见而已不是吗？」']
79. ['嘉祥', '「还有，妳怎么会知道这里？我应该没有告诉过妳吧？」']
80. ['时雨', '「真是个笨问题呢，哥哥。」']
81. ['时雨', '「简单来说，在我这个妹妹的爱面前一切都不是问题。」']
82. ['嘉祥', '「就说不用再演了嘛。」']
83. ['时雨', '「哥哥您居然把时雨的一片真心当成演技……哟哟哟。」']
84. ['None', '时雨将手放到嘴边作势哭泣，']
85. ['None', '这时一张纸片从她的袖口中掉了出来。']
86. ['嘉祥', '「这是……」']
87. ['时雨', '「真不愧是哥哥，连名片都设计得如此精美。」']
88. ['嘉祥', '「等等，我明明还没发出去啊？」']
89. ['None', '话才刚说出口，我马上就察觉了事情的真相。']
90. ['嘉祥', '「……是妳干的好事吧，香草。」']
91. ['香草', '「没办法，这是帮忙我们偷渡的交换条件。」']
92. ['None', '原来昨天她跑出药店就是为了把名片交给时雨……']
93. ['None', '我总算知道她那时为何要含糊其词，还说些什么『任务达成』之类的话了。']
94. ['嘉祥', '「这么说，一开始我会联络不上妳……」']
95. ['嘉祥', '「还有巧克力跟香草会混进行李里偷渡过来，这些全都是妳的点子啰？」']
96. ['时雨', '「您说的一点也没错。」']
97. ['时雨', '「所以错不在巧克力跟香草身上，」']
98. ['时雨', '「您要骂的话，就请骂我这个不肖的妹妹吧。可以的话，希望您能用温柔中带点强势的口气来骂。」']
99. ['嘉祥', '「温柔又强势的口气是哪种口气啊……」']
100. ['None', '老实说，有时我还真听不懂自己的妹妹在说些什么……']
101. ['None', '虽然说这是她的老毛病就是了。']
102. ['嘉祥', '「……嗯，不过我也有不对，没跟时雨说一声就离家出走。」']
103. ['None', '我搔了搔脸颊，不好意思地转开视线。']
104. ['None', '毕竟时雨从以前就一直很依赖我，甚至依赖到大家都笑她离不开哥哥，']
105. ['None', '所以这次她才会采取这么强硬又拐弯抹角的方式吧。']
106. ['None', '从某种层面上来看，我给她添的心劳说不定要比巧克力跟香草还要来得更多一点。']
107. ['None', '所以我并没有打算要对她抱怨什么。']
108. ['时雨', '「哥哥……」']
109. ['时雨', '「……嗯。虽然时雨这几天来一直都很担心，不过见到哥哥您这么有精神真是太好了。」']
110. ['嘉祥', '「不过是几天没见而已，有什么好担心的呢。」']
111. ['None', '见到时雨露出微笑，我伸出手摸了摸她的头。']
112. ['None', '只见她瞇起双眼轻笑出声，看起来很开心似的。那副模样就和刚才的巧克力和香草没什么两样。']
113. ['红豆', '「欸～嘉祥你也未免太见外了吧？时雨又不是外人。」']
114. ['红豆', '「说起这几天的时雨啊，简直做什么都心不在焉，」']
115. ['红豆', '「有几次甚至还忘记喂我们吃饭呢。」']
116. ['枫', '「就是说啊，」']
117. ['枫', '「成天就看她像个被关在动物园里的动物似地一边转圈圈一边叹气，真叫人伤脑筋呢。」']
118. ['枫', '「留个联络方式下来又不会怎样，」']
119. ['枫', '「还是说你就这么想跟我们断绝来往？」']
120. ['红豆', '「我看哪，你一定是觉得一个人默默离开比较帅气对不对？」']
121. ['枫', '「啊──有可能有可能。所以说人类男生就是这么麻烦。」']
122. ['None', '见到红豆与小枫刻意耸著肩膀的模样，我不禁露出苦笑。']
123. ['None', '虽然嘴巴上一点也不饶人，不过她们确实点中了我的痛处。']
124. ['嘉祥', '「这次的确是我不对，而且我也已经在反省了，」']
125. ['嘉祥', '「所以红豆、小枫，拜托妳们俩饶了我吧。」']
126. ['桂', '「啊哈哈。不过红豆跟小枫其实也都很担心你喔～？」']
127. ['桂', '「你离开以后，她们两个还特别去跟时雨借电脑跟手机，想要上网找出你的行踪呢～♪」']
128. ['椰子', '「嘻嘻。亏她们年纪比我们大，结果反而还没有我们坦率。」']
129. ['椰子', '「我可是早就打定主意要代替时雨出来找人了。」']
130. ['嘉祥', '「小桂、椰子，抱歉也让妳们两个担心了。」']
131. ['嘉祥', '「我保证以后不会再有这种事情发生，所以饶了我吧。」']
132. ['None', '接著我也对小桂和椰子低头道歉。']
133. ['None', '没想到家里的猫娘会全体出动来看我们，']
134. ['None', '让我不禁觉得有这样一群家人真是太好了。']
135. ['时雨', '「哥哥你尽管放心，我不会让事情传进父亲大人耳中的。」']
136. ['嘉祥', '「嗯，拜托妳了。不好意思，老是给妳添这么多麻烦。」']
137. ['时雨', '「没这回事，」']
138. ['时雨', '「我从小就看著哥哥的背影长大，今后也会继续帮您加油的。」']
139. ['None', '时雨伸出她小小的两只手，轻轻握住了我的手掌。']
140. ['None', '明明是我不说一声就擅自离开家，']
141. ['None', '但是她却二话不说就原谅了我。']
142. ['None', '说真的，这样一个好女孩当我妹妹实在太可惜了。']
143. ['时雨', '「不过，母亲大人也很担心哥哥您喔？」']
144. ['时雨', '「请您至少在状况安定下来之后联络母亲大人一声，好让她可以安心。」']
145. ['嘉祥', '「知道了，我会记得的。」']
146. ['时雨', '「那么，打个勾勾表示我们约好啰。」']
147. ['None', '我们小指勾著小指，和小时候一样打了勾勾。']
148. ['None', '每当我们这么做的时候，时雨脸上总是会浮现出小恶魔般的可爱笑容。']
149. ['时雨', '「……不过真可惜，其实我还有点期待哥哥的温柔责骂呢。」']
150. ['嘉祥', '「我心中完美妹妹的形象全都被妳这句话给破坏光啦。」']
151. ['None', '不过没有这一面的时雨就不像时雨了。']
152. ['None', '再说都当了那么多年兄妹，如今才来在意这个也没有什么意义不是吗。']
153. ['时雨', '「话说回来，这里真的是间很棒的店呢。」']
154. ['时雨', '「只要想到哥哥作蛋糕的时候不需要再躲躲藏藏，时雨就不禁开心起来了。」']
155. ['嘉祥', '「真的是多亏有妳跟猫娘们帮我掩灭证据呢。」']
156. ['时雨', '「嘻嘻。虽然家里的和菓子也很不错，不过哥哥作的蛋糕在时雨心中永远都是世界第一哟。」']
157. ['时雨', '「……虽然一想到哥哥再也不会回水无月家来，时雨就会感到内心一阵寂寞……」']
158. ['时雨', '「不过，这间店将来想必能得到许多客人的喜爱吧。」']
159. ['None', '虽然脸上的笑容显得有些困扰，']
160. ['None', '不过时雨依然和之前的巧克力、还有香草一样带著笑脸如此对我说道。']
161. ['嘉祥', '「事情真能如妳所说的话就好了。」']
162. ['None', '所以我也再度摸摸她的头，作出了同样的回答。']
163. ['时雨', '「哇啊，我还是第一次见到西洋蛋糕店的厨房呢。」']
164. ['时雨', '「器材什么的果然都跟水无月家专作和菓子的厨房不同……」']
165. ['None', '时雨看著旋转台、杆面棍跟分割器等西点器材，兴致勃勃地说道。']
166. ['None', '除了一模一样的器具之外，其中当然也包含了不少差异十分细微的器具。']
167. ['时雨', '「哥哥都是在这里制作蛋糕的吗？」']
168. ['时雨', '「虽然穿著和式工作服的哥哥也很令人垂涎，不过西点师傅造型也是相当挑逗女人心的打扮呢。」']
169. ['时雨', '「啊啊……！可以的话我真想在这里架一台摄影机，这样子一天24小时都能欣赏到哥哥的英姿了……！」']
170. ['嘉祥', '「想都别想。」']
171. ['None', '再说我也不可能24小时都待在这里啊。']
172. ['None', '是说我这个妹妹还是老样子喜欢做些危险发言。']
173. ['时雨', '「不过看到巧克力跟香草这么有精神，我终于可以安心了。」']
174. ['时雨', '「虽然我早就知道哥哥是绝对不会拒绝她们的请求的。嘻嘻。」']
175. ['None', '时雨露出小恶魔般的笑容，拿起了放在厨房一角的猫娘饲育书。']
176. ['嘉祥', '「我要学的事情还多得很啦。」']
177. ['None', '看了这本书以后，我终于再度体会到我们家的猫娘究竟有多优秀。']
178. ['None', '一只猫娘是否优秀，似乎取决于能不能流畅沟通，以及会不会带给同居人过多压力的样子。']
179. ['嘉祥', '「学得越多，就越能了解妳这个教育妈妈的厉害之处呢。」']
180. ['时雨', '「俗话说爱之深责之切嘛。再说这也是为了她们自己好。」']
181. ['None', '时雨拍著胸脯对我眨了眨眼，脸上自然流露出一副母亲的神情。']
182. ['None', '亲手养大六只猫娘而产生的自信，让她的小小的身影看起来十分可靠。']
183. ['None', '即使现在才发现到时雨意外的一面，不过身为哥哥的我依然为此感到相当自豪。']
184. ['嘉祥', '「既然已经决定要把巧克力跟香草养在这里，我会好好负起责任的。」']
185. ['时雨', '「我知道。时雨从来就没有怀疑过哥哥的真心喔。」']
186. ['时雨', '「不过，如果哥哥您要让她们两个在店里工作的话，必须先帮她们取得执照才行。」']
187. ['嘉祥', '「执照？妳是指料理执照吗？」']
188. ['时雨', '「啊哈哈。不是的，哥哥。」']
189. ['时雨', '「想要让猫娘单独行动、或者以店员身分工作的话……」']
190. ['时雨', '「必须先让猫娘取得所谓的『单独行动许可证』。」']
191. ['时雨', '「要是没有这个许可证，猫娘一个人待在外头可是会被警察带回去辅导的。」']
192. ['时雨', '「而且没有许可证的猫娘也不能担任店员。」']
193. ['时雨', '「当然，如果只是义务帮忙，没有支薪的话就又另当别论了……」']
194. ['嘉祥', '「许可证……可是，我们家的猫娘出门有带过那种东西吗？」']
195. ['None', '我试著回想以前她们出门帮时雨买东西的时候都带了些什么，']
196. ['None', '不过就是没印象她们有带过什么许可证。']
197. ['时雨', '「嘻嘻。她们可是都随身带著许可证喔？」']
198. ['时雨', '「跟我过来看看您就会知道了，哥哥。」']
199. ['None', '于是在时雨的催促之下，我跟著她走出店面。']
200. ['嘉祥', '「嘿～原来这个铃铛就是许可证啊……」']
201. ['枫', '「哎，身为一只猫娘，怎么可以没有铃铛呢？」']
202. ['枫', '「不能自由在外面走动不是很不方便吗？」']
203. ['红豆', '「简单来说，我们就是被选上的猫娘啦。」']
204. ['红豆', '「跟路边常常看到的一般猫娘可是完全不同喔。」']
205. ['桂', '「毕竟是合格率据说只有十分之一的考试嘛～」']
206. ['桂', '「当初我可是用功到都快吐了呢～」']
207. ['椰子', '「身为时雨主人家的猫娘却没考上『带铃猫』资格，」']
208. ['椰子', '「光是这点就足以让主人蒙羞了喔？」']
209. ['None', '只见四人自豪地把铃铛现给我看。']
210. ['None', '没想到她们身上的铃铛居然还有这层意味在……']
211. ['None', '我还以为只是时雨的兴趣而已呢。']
212. ['时雨', '「铃铛便利的地方还不止这里呢。除了可以当成猫娘的身分证明以外，」']
213. ['时雨', '「就算要进入禁带宠物的闹区或活动现场也没有问题。」']
214. ['时雨', '「而且铃铛上还附有GPS功能，可以防止走失喔。」']
215. ['时雨', '「所以，如果哥哥您只是偶尔让巧克力跟香草在店里帮忙也就罢了，」']
216. ['时雨', '「想要让她们俩担任正式店员的话，我想还是早点拿到铃铛比较好。」']
217. ['嘉祥', '「原来如此，没想到饲养猫娘的学问那么大啊。」']
218. ['None', '身为饲主，我可得朝时雨的博学看齐了。']
219. ['时雨', '「其实我原本就觉得差不多该让巧克力和香草去考带铃猫资格了，」']
220. ['时雨', '「所以这说不定是个好机会呢。」']
221. ['时雨', '「巧克力，香草，妳们说好不好？」']
222. ['巧克力', '「只要能帮上主人的忙，巧克力会拼命加油的！！」']
223. ['香草', '「这样一来就能跟大家一起出门了。不然总是被留在家里也挺寂寞的。」']
224. ['时雨', '「当然，在这段期间里身为饲主的哥哥也必须提供协助才行哟？」']
225. ['嘉祥', '「那当然。光是溺爱猫娘对她们是没有帮助的，对吧？」']
226. ['时雨', '「嘻嘻，一点也没错。」']
227. ['时雨', '「学会越多有关人类社会的常识，妳们的生活就会越多采多姿喔。」']
228. ['巧克力', '「哇～巧克力一定要考上带铃猫资格，这样就可以跟主人一起去游乐园玩了！」']
229. ['香草', '「虽然游乐园也不错，不过我比较想到水族馆去。」']
230. ['香草', '「真想早点看到海豚、企鹅跟蓝鲸。」']
231. ['嘉祥', '「没有水族馆养得下蓝鲸啦。」']
232. ['椰子', '「嗯，嗯。我在拿到铃铛之前也只能一个人留在家里，所以很了解妳们寂寞的心情哟～」']
233. ['椰子', '「我会在背后帮妳们打气，所以巧克力、香草，妳们一定要一次就考上哟！」']
234. ['红豆', '「啊～啊，所以说缅因猫就是这么死脑筋。」']
235. ['红豆', '「反正拿到的铃铛都一样，只要能合格的话次数根本就不是问题。」']
236. ['红豆', '「只有还在喝奶的小鬼才会成天拿这种事出来自夸啦。」']
237. ['红豆', '「我看妳还是快点回去吃妳的断奶食吧，哼！」']
238. ['椰子', '「不要因为妳自己吃了两次不合格就闹别扭嘛。」']
239. ['椰子', '「啊，该不会是因为妳手短脚短，所以在实技考试上占不到便宜吧？」']
240. ['红豆', '「妳说什么！？这可是我们腊肠猫最大的魅力好不好！！」']
241. ['红豆', '「像妳这种小鬼头想跟我谈猫娘还早两千万年呢！！」']
242. ['椰子', '「我可不想听一只只有年纪比人大的猫娘倚老卖老，」']
243. ['椰子', '「想要受人尊敬的话，麻烦妳自己先做个值得人尊敬的榜样吧。」']
244. ['巧克力', '「不、不可以吵架啦～！拜托妳们两个先冷静下来，好不好？」']
245. ['桂', '「就、就是说啊～！要是累积太多压力，可是会得到圆形脱毛症的喔～？」']
246. ['巧克力', '「啊，对了！上次主人帮我们买了玩具，」']
247. ['巧克力', '「只要玩一下就可以把所有不高兴的事都抛到九霄云外啰～！」']
248. ['枫', '「红豆跟椰子还真是成天吵不腻耶。」']
249. ['枫', '「啊～真是的，妳们要去外面吵啦！不然等会打起来又会扬起一大堆灰尘！」']
250. ['香草', '「水无月家的日常风景就算到了Soleil还是一点也不变呢。」']
251. ['香草', '「小枫，我来帮妳们泡红茶。有特别想喝哪种茶吗？这里的招牌是大吉利。」']
252. ['枫', '「还是乖巧的香草最可爱了。」']
253. ['枫', '「那么就给我一杯招牌茶吧。还有，应该是大吉岭才对。」']
254. ['香草', '「交给我吧。小枫可是第一个喝我泡的茶的客人。」']
255. ['嘉祥', '「…………」']
256. ['None', '……见到她们这副模样，实在很难想像她们都聪明到可以考过带铃猫资格。']
257. ['None', '虽然正如香草所说，这在水无月家里可以算是日常风景……']
258. ['None', '不过我想她们在外面一定都表现得很优秀吧。']
259. ['时雨', '「好好好，大家别再吵了～」']
260. ['一同', '「唔……」「啊。」「嗯？」\n「哎？」「是！」「知道了。」']
261. ['时雨', '「今天可是哥哥展开新生活的日子，怎么可以在这种日子吵架呢？」']
262. ['时雨', '「身为水无月家的带铃猫，难道妳们都不会觉得丢脸吗？」']
263. ['巧克力', '「巧克力跟香草还没拿到铃铛就是了。」']
264. ['香草', '「没错。所以我们一点也不丢脸。」']
265. ['枫', '「吵架的人又不是我。」']
266. ['枫', '「唉～多亏那边那两只笨猫，害人家也一起挨骂了啦。」']
267. ['红豆', '「妳说什么～？明明是我们之中最胆小的人，少在那装得一副游刃有余的模样好不好！」']
268. ['椰子', '「晚上非得把房间跟走廊上的电灯全部打开才敢去厕所的人还真敢说呢。」']
269. ['枫', '「喵──！我不是早就说过我不会被什么夜行性啊夜视这些猫科本能制约了吗！妳们这两只笨猫！！」']
270. ['桂', '「不过这就是小枫可爱的地方啊～」']
271. ['桂', '「知道她这一面以后，就连平常的高傲模样看起来也会变可爱喔～♪」']
272. ['枫', '「嘶──！打扮跟魔法少女没两样的人没资格说我！」']
273. ['枫', '「小心我把妳唱魔法咒文的模样拍起来传上YouChube喔！？」']
274. ['桂', '「咦咦！？这样太过分了吧～要是被放流到网路之海上的话我一辈子都会被当成笑柄耶～！？」']
275. ['桂', '「而且魔法少女又有什么关系！时雨明明就说过我打扮成这样很合适了！喵──！！」']
276. ['时雨', '「好了好了！大家安静！安静！」']
277. ['时雨', '「刚刚我也说过了，今天是哥哥展开新生活的纪念日，对我来说也是个值得纪念的日子。」']
278. ['时雨', '「而且我刚才已经买下这里所有的蛋糕。所以呢──」']
279. ['时雨', '「今天一天，这里的蛋糕随妳们想吃多少就吃多少。」']
280. ['红豆', '「真的吗时雨！？同时吃两块也没关系吗！？」']
281. ['椰子', '「想、想吃多少就吃多少……！？」']
282. ['椰子', '「这么说，我可以一口气吃掉一整个蛋糕也没问题啰……！？」']
283. ['嘉祥', '「咦？妳说买下……咦？等等，时雨小姐……！？」']
284. ['枫', '「既然如此，可以给我伯爵茶吗？当然，不可以太烫哟。」']
285. ['巧克力', '「没问题～♪主人跟时雨喝红茶可以吗？」']
286. ['香草', '「我也来帮忙。这可是身为看板猫娘的第一份工作。」']
287. ['桂', '「哇～♪那我去把『售完』的纸条贴在门口啰～♪」']
288. ['嘉祥', '「等等……！我叫妳们等一下啦！」']
289. ['时雨', '「哥哥～？妹妹我衷心希望哥哥您能够亲手喂我吃蛋糕♪」']
290. ['时雨', '「人家买了那么多蛋糕，这点要求应该不过份吧？啊～♪」']
291. ['红豆', '「嗯喔！？这里的蛋糕超好吃的！！」']
292. ['红豆', '「没想到嘉祥其实还挺有本事的嘛！（大吃特吃）」']
293. ['椰子', '「呜哇……♪没想到我在有生之年居然有机会可以一次吃掉一整个蛋糕……！」']
294. ['椰子', '「啊啊太棒了，我现在猛烈的感到非常幸福……！（拼命吃）」']
295. ['枫', '「嗯～好棒的香味。果然还是只有微温的茶最适合猫舌头了。」']
296. ['枫', '「茶点可以给我苹果派吗？」']
297. ['桂', '「我一直很想尝尝看刚烤好的苹果派是什么味道呢～！」']
298. ['桂', '「所以务必拜托你了，嘉祥主人～！」']
299. ['巧克力', '「主人！泡芙已经没有了～！」']
300. ['巧克力', '「可以麻烦主人多作一点出来吗！」']
301. ['香草', '「唔唔唔……！主人，我拿不到库存的茶叶……！」']
302. ['嘉祥', '「……算了，随便妳们吧……」']
303. ['None', '就这样，值得纪念的开店首日才过了30分钟，Soleil门口马上就贴上了『售完』字条。']
304. ['嘉祥', '「我回来了～」']
305. ['巧克力', '「主人～！主人你快来看！超棒的！」']
306. ['香草', '「真的、真的很不得了！简直可爱到极点了！」']
307. ['嘉祥', '「怎么了？看妳们兴奋成这样……」']
308. ['None', '才刚买完东西回来，就见到两只猫娘兴奋得像是要飞上天。']
309. ['None', '是说我也才出门没多久而已，应该不可能发生什么大事才对……']
310. ['None', '大概是她们又跟玩具玩疯了吧。']
311. ['巧克力', '「总之过来看就对了啦！真的超、超、超、超～棒的！」']
312. ['嘉祥', '「好好好我知道很棒，到底是什么很棒？」']
313. ['香草', '「跟我们来就对了。百闻不如一见，主人过来自己看比较快。」']
314. ['嘉祥', '「妳说自己看比较快……可是那里不是空房间吗？」']
315. ['None', '巧克力和香草就这么拉著我的手走进房里。']
316. ['嘉祥', '「呜喔……！？这、这是……！？」']
317. ['None', '打开房门的瞬间，我的眼中顿时被满面的粉红色与白色给占据。']
318. ['None', '只见房里多了一堆家具，而且从地板、床铺、衣柜还是坐垫等等全都统一成古典玫瑰风格。']
319. ['None', '不仅如此，房间里还不断飘出只有高级家具才会散发出的芳香……']
320. ['None', '总之一点也不像会出现在我们家的风格就是了。']
321. ['None', '一时间我还以为刚刚打开的那扇门是不是通到什么异空间去了呢。']
322. ['巧克力', '「这些都是时雨送的喔！很可爱对不对～！」']
323. ['香草', '「是时雨看我们可怜才帮我们准备了这些家具。这样一来主人也可以告别天天睡沙发的日子了。」']
324. ['嘉祥', '「这么说来，老家的猫娘房间好像也是这副模样……」']
325. ['None', '回想起猫娘们的房间也都差不多是被时雨布置成这种感觉，']
326. ['None', '我不禁抱头摊在墙上苦恼起来。']
327. ['None', '由于必须顾虑父母的视线，所以时雨本人的房间是极其普通的和室；正因为如此，她才会把全副兴趣全都投注到猫娘身上。']
328. ['None', '我记得除了小枫以外，其他猫娘的衣服几乎都是时雨亲自选的……']
329. ['巧克力', '「呜哇～床铺好松好软，又好香喔～♪」']
330. ['香草', '「弹力绝佳。就算跟巧克力睡在一起也没问题。」']
331. ['None', '我怎么忘了呢……时雨虽然是个教育妈妈，不过她同时也对猫娘溺爱得不得了。']
332. ['None', '话说回来，她是什么时候把这堆家具搬进来的啊……']
333. ['None', '居然能在我出门的短短时间里把东西通通送进房间布置好，我这个妹妹真的是把才能全用在无谓的地方上了。']
334. ['嘉祥', '「……唉，反正这是妳们的房间，妳们高兴就好。」']
335. ['巧克力', '「嘿嘿～主人羡慕吗？」']
336. ['嘉祥', '「嗯～那张看起来高级到不行的床是有点叫人羡慕啦。」']
337. ['香草', '「哼哼哼。时雨早就猜到主人会这么说了。」']
338. ['嘉祥', '「…………咦？」']
339. ['巧克力', '「喵～这样主人的房间就跟我们一样啰～♪」']
340. ['香草', '「主人的床铺蓬松程度不输我们的床。」']
341. ['巧克力', '「主人主人，有没有很开心啊～？」']
342. ['香草', '「时雨的恋兄情节实在叫人不得不佩服呢。」']
343. ['嘉祥', '「时──────雨──────！！！！」']
344. ['None', '结果，我因为舍不得丢掉这些近乎全新的家具，']
345. ['None', '最后不得不接受这个梦幻到不行的公主风寝室。']
346. ['None', '……只不过，我心里的抗拒感很快就被松软的床铺给打败了。']
